,Unnamed: 0,id,name,location,sampling_rate,lfp_sampling_rate,has_lfp_data,session,inserted
0,0,541,probeA,See electrode locations,30000.11232138625,,False,1232725697,True
1,1,543,probeB,See electrode locations,29999.93315139914,,False,1232725697,True
2,2,539,probeC,See electrode locations,30000.23231446088,,False,1232725697,True
3,3,540,probeD,See electrode locations,30000.093797865167,,False,1232725697,True
5,5,542,probeF,See electrode locations,30000.10805933716,,False,1232725697,True
6,6,520,probeA,See electrode locations,30000.113480306823,,False,1234203203,True
7,7,521,probeB,See electrode locations,29999.93643609869,,False,1234203203,True
8,8,522,probeC,See electrode locations,30000.23681082761,,False,1234203203,True
10,10,524,probeE,See electrode locations,30000.06447265251,,False,1234203203,True
11,11,525,probeF,See electrode locations,30000.110883874808,,False,1234203203,True
12,12,380,probeA,See electrode locations,30000.105067198187,,False,1218577463,True
13,13,381,probeB,See electrode locations,29999.93087941852,,False,1218577463,True
14,14,378,probeC,See electrode locations,30000.191997990853,,False,1218577463,True
15,15,379,probeD,See electrode locations,30000.08468005169,,False,1218577463,True
16,16,377,probeE,See electrode locations,30000.05613804659,,False,1218577463,True
17,17,376,probeF,See electrode locations,30000.10408861516,,False,1218577463,True
19,19,42,probeB,See electrode locations,29999.952957795173,,False,1178693650,True
20,20,43,probeC,See electrode locations,30000.22463938109,,False,1178693650,True
22,22,45,probeE,See electrode locations,30000.073776572583,,False,1178693650,True
25,25,84,probeB,See electrode locations,29999.95107968477,,False,1176989662,True
26,26,85,probeC,See electrode locations,30000.22284081304,,False,1176989662,True
27,27,86,probeD,See electrode locations,30000.1089853388,,False,1176989662,True
28,28,87,probeE,See electrode locations,30000.07379135076,,False,1176989662,True
29,29,88,probeF,See electrode locations,30000.124841970774,,False,1176989662,True
30,30,140,probeA,See electrode locations,30000.118035302978,,False,1181324124,True
31,31,141,probeB,See electrode locations,29999.93992787345,,False,1181324124,True
32,32,142,probeC,See electrode locations,30000.209478062818,,False,1181324124,True
33,33,143,probeD,See electrode locations,30000.097604848524,,False,1181324124,True
34,34,144,probeE,See electrode locations,30000.06185155324,,False,1181324124,True
35,35,145,probeF,See electrode locations,30000.113751498007,,False,1181324124,True
36,36,508,probeA,See electrode locations,30000.10766643648,,False,1230064747,True
37,37,509,probeB,See electrode locations,29999.930462694345,,False,1230064747,True
41,41,513,probeF,See electrode locations,30000.1027486638,,False,1230064747,True
42,42,295,probeA,See electrode locations,30000.104303317417,,False,1200659846,True
43,43,296,probeB,See electrode locations,29999.928536482465,,False,1200659846,True
45,45,298,probeD,See electrode locations,30000.08357761202,,False,1200659846,True
46,46,299,probeE,See electrode locations,30000.05192672857,,False,1200659846,True
47,47,300,probeF,See electrode locations,30000.10269667359,,False,1200659846,True
48,48,385,probeA,See electrode locations,30000.101163995794,,False,1218795542,True
49,49,383,probeB,See electrode locations,29999.92866266835,,False,1218795542,True
50,50,387,probeC,See electrode locations,30000.19009224361,,False,1218795542,True
51,51,386,probeD,See electrode locations,30000.08185293468,,False,1218795542,True
52,52,384,probeE,See electrode locations,30000.053454315388,,False,1218795542,True
53,53,382,probeF,See electrode locations,30000.101163995794,,False,1218795542,True
54,54,580,probeA,See electrode locations,30000.119206617303,,False,1187668018,True
55,55,581,probeB,See electrode locations,29999.94136239628,,False,1187668018,True
56,56,582,probeC,See electrode locations,30000.210678188847,,False,1187668018,True
57,57,583,probeD,See electrode locations,30000.10159215928,,False,1187668018,True
58,58,584,probeE,See electrode locations,30000.066363243208,,False,1187668018,True
59,59,585,probeF,See electrode locations,30000.11657989988,,False,1187668018,True
60,60,603,probeA,See electrode locations,30000.12393480334,,False,1188138256,True
61,61,604,probeB,See electrode locations,29999.946242435573,,False,1188138256,True
62,62,605,probeC,See electrode locations,30000.215351582054,,False,1188138256,True
64,64,607,probeE,See electrode locations,30000.07123760928,,False,1188138256,True
65,65,608,probeF,See electrode locations,30000.12136420851,,False,1188138256,True
67,67,72,probeB,See electrode locations,29999.94910879709,,False,1176580734,True
68,68,73,probeC,See electrode locations,30000.22186444697,,False,1176580734,True
70,70,75,probeE,See electrode locations,30000.07198960596,,False,1176580734,True
71,71,76,probeF,See electrode locations,30000.122665519048,,False,1176580734,True
72,72,291,probeA,See electrode locations,30000.10303552653,,False,1200471383,True
73,73,290,probeB,See electrode locations,29999.92749943944,,False,1200471383,True
74,74,289,probeC,See electrode locations,30000.192721997253,,False,1200471383,True
75,75,294,probeD,See electrode locations,30000.08401112365,,False,1200471383,True
76,76,293,probeE,See electrode locations,30000.05267681302,,False,1200471383,True
77,77,292,probeF,See electrode locations,30000.10303552653,,False,1200471383,True
78,78,418,probeA,See electrode locations,30000.111883705973,,False,1225178442,True
79,79,419,probeB,See electrode locations,29999.936506493686,,False,1225178442,True
81,81,421,probeD,See electrode locations,30000.09118290188,,False,1225178442,True
82,82,422,probeE,See electrode locations,30000.06054571181,,False,1225178442,True
83,83,423,probeF,See electrode locations,30000.11089006737,,False,1225178442,True
84,84,59,probeA,See electrode locations,30000.127457277245,,False,1175067685,True
85,85,60,probeB,See electrode locations,29999.94726981676,,False,1175067685,True
86,86,61,probeC,See electrode locations,30000.220905146354,,False,1175067685,True
87,87,62,probeD,See electrode locations,30000.10748845045,,False,1175067685,True
88,88,63,probeE,See electrode locations,30000.071918977734,,False,1175067685,True
89,89,64,probeF,See electrode locations,30000.12137302533,,False,1175067685,True
90,90,12,probeA,See electrode locations,30000.123620669183,,False,1182871514,True
91,91,13,probeB,See electrode locations,29999.94567808259,,False,1182871514,True
92,92,14,probeC,See electrode locations,30000.21555767225,,False,1182871514,True
93,93,15,probeD,See electrode locations,30000.1030254624,,False,1182871514,True
94,94,16,probeE,See electrode locations,30000.06760170673,,False,1182871514,True
95,95,17,probeF,See electrode locations,30000.12081972106,,False,1182871514,True
96,96,532,probeA,See electrode locations,30000.11035989029,,False,1232430325,True
97,97,533,probeB,See electrode locations,29999.931339720115,,False,1232430325,True
98,98,534,probeC,See electrode locations,30000.2307555089,,False,1232430325,True
99,99,535,probeD,See electrode locations,30000.091812009567,,False,1232430325,True
100,100,536,probeE,See electrode locations,30000.059684430464,,False,1232430325,True
101,101,537,probeF,See electrode locations,30000.105888526195,,False,1232430325,True
102,102,442,probeA,See electrode locations,30000.11833142489,,False,1226780656,True
103,103,443,probeB,See electrode locations,29999.93841229933,,False,1226780656,True
104,104,444,probeC,See electrode locations,30000.23992511964,,False,1226780656,True
105,105,445,probeD,See electrode locations,30000.10119627007,,False,1226780656,True
106,106,446,probeE,See electrode locations,30000.06791452707,,False,1226780656,True
107,107,447,probeF,See electrode locations,30000.114706680608,,False,1226780656,True
108,108,268,probeA,See electrode locations,30000.10114377364,,False,1208053773,True
109,109,266,probeB,See electrode locations,29999.926112083616,,False,1208053773,True
110,110,265,probeC,See electrode locations,30000.187529340208,,False,1208053773,True
111,111,270,probeD,See electrode locations,30000.07869967317,,False,1208053773,True
112,112,267,probeE,See electrode locations,30000.04721334517,,False,1208053773,True
113,113,269,probeF,See electrode locations,30000.097268533267,,False,1208053773,True
114,114,110,probeA,See electrode locations,30000.12502804857,,False,1179670730,True
115,115,111,probeB,See electrode locations,29999.94620998373,,False,1179670730,True
116,116,112,probeC,See electrode locations,30000.21724868578,,False,1179670730,True
117,117,113,probeD,See electrode locations,30000.102053220828,,False,1179670730,True
118,118,114,probeE,See electrode locations,30000.06847462645,,False,1179670730,True
119,119,115,probeF,See electrode locations,30000.119083512724,,False,1179670730,True
120,120,253,probeA,See electrode locations,30000.102479109213,,False,1199249150,True
121,121,254,probeB,See electrode locations,29999.927867040304,,False,1199249150,True
122,122,255,probeC,See electrode locations,30000.18913602817,,False,1199249150,True
